"","ShowCode","ShowName","episode","drop5","Avg100","Avg95"
"90","IP8","HPF Hindi","EP10",63.82,18.2899,48.9657269209508
"91","IP8","HPF Hindi","EP11",66.5,15.9271,45.7620895522388
"92","IP8","HPF Hindi","EP12",74.37,11.0947,40.9769801014436
"93","IP8","HPF Hindi","EP13",64.47,16.0863,42.4264002251618
"94","IP8","HPF Hindi","EP14",60.18,18.0774,43.0057759919638
"95","IP8","HPF Hindi","EP15",72.7,12.6172,43.0765567765568
"96","IP9","De dana Dan","EP1",58.67,23.4775,55.075731913864
"97","IP9","De dana Dan","EP2",58.34,22.0212,51.5350456072972
"98","IP9","De dana Dan","EP3",53.25,28.6818,60.1495187165775
"99","IP9","De dana Dan","EP4",31.88,41.9902,60.9398120963007
"100","IP10","Masti band","EP1",20.07,42.4862,52.5400975853872
"101","IP10","Masti band","EP2",23.9,33.5303,43.2822601839685
"102","IP10","Masti band","EP3",19.74,42.649,52.5723897333665
"103","IP10","Masti band","EP4",26.15,31.8699,42.3324306025728
"104","IP10","Masti band","EP5",27.34,34.2892,46.3205339939444
"105","IP10","Masti band","EP6",12.26,33.6821,38.0453612947344
"106","IP11","Aaarohi Telugu","EP1",56.89,14.1688,30.7944792391557
"107","IP11","Aaarohi Telugu","EP2",58.71,14.4389,32.7076774037297
"108","IP11","Aaarohi Telugu","EP3",61.27,12.3504,29.1902917634908
"109","IP11","Aaarohi Telugu","EP4",51.34,13.7439,26.5388409371147
"110","IP11","Aaarohi Telugu","EP5",59.89,10.8006,23.5973572675143
"111","IP11","Aaarohi Telugu","EP6",61.41,11.3239,26.1736201088365
"112","IP11","Aaarohi Telugu","EP7",65.49,10.1042,25.7021153288902
"113","IP11","Aaarohi Telugu","EP8",41.8,16.1544,25.9266323024055
"114","IP11","Aaarohi Telugu","EP9",52.84,12.5345,24.029262086514
"115","IP11","Aaarohi Telugu","EP10",46.89,21.6098,38.5240067783845
"116","IP11","Aaarohi Telugu","EP11",65.18,10.7845,27.5669155657668
"117","IP11","Aaarohi Telugu","EP12",59.31,15.4731,35.3747849594495
"118","IP11","Aaarohi Telugu","EP13",47.22,14.8817,26.2178855627132
"119","IP11","Aaarohi Telugu","EP14",45.67,17.4284,30.0333149272961
"120","IP12","Bollywood baja telugu","EP1",60.49,15.5059,36.9207795494812
"121","IP12","Bollywood baja telugu","EP2",61.15,15.6197,37.4947232947233
"122","IP12","Bollywood baja telugu","EP3",72.99,10.4394,35.3420955201777
"123","IP12","Bollywood baja telugu","EP4",62.76,12.5088,31.1439312567132
"124","IP12","Bollywood baja telugu","EP5",72.19,9.9193,32.3646170442287
"125","IP12","Bollywood baja telugu","EP6",66.93,9.7834,26.635016631388
"126","IP12","Bollywood baja telugu","EP7",69.11,16.0922,48.8391065069602
"127","IP12","Bollywood baja telugu","EP8",73.12,7.6862,24.8950892857143
"128","IP12","Bollywood baja telugu","EP9",48.21,18.4781,34.268584668855
"129","IP12","Bollywood baja telugu","EP10",42.81,24.1899,41.1463542577374
"130","IP12","Bollywood baja telugu","EP11",42.81,24.1899,41.1463542577374
"131","IP12","Bollywood baja telugu","EP12",71.16,9.4547,29.2135922330097
"132","IP12","Bollywood baja telugu","EP13",75.84,7.5694,27.5012417218543
"133","IP12","Bollywood baja telugu","EP14",69.92,10.059,30.8048537234043
"134","IP13","HPF Telugu","EP1",63.43,12.6788,31.9078479628111
"135","IP13","HPF Telugu","EP2",62.42,12.3984,29.9348057477381
"136","IP13","HPF Telugu","EP3",68.78,10.3146,29.6527866752082
"137","IP13","HPF Telugu","EP4",65.65,11.8477,31.4387190684134
"138","IP13","HPF Telugu","EP5",66.82,11.6258,32.2658227848101
"139","IP13","HPF Telugu","EP6",71.38,9.2152,28.8878406708595
"140","IP13","HPF Telugu","EP7",68.75,10.0407,28.61536
"141","IP13","HPF Telugu","EP8",68.78,10.0367,28.6281229980782
"142","IP13","HPF Telugu","EP9",65.03,12.0931,31.5115813554475
"143","IP13","HPF Telugu","EP10",69.79,12.0424,36.7292287322079
"144","IP13","HPF Telugu","EP11",60.62,14.3089,34.0576434738446
"145","IP13","HPF Telugu","EP12",61.1,16.3804,39.6737789203085
"146","IP13","HPF Telugu","EP13",59.84,15.2715,35.9900398406375
"147","IP14","Mastiband Telugu","EP1",18.21,41.0757,49.6903044381954
"148","IP14","Mastiband Telugu","EP2",21.65,32.8305,41.2061263560945
"149","IP14","Mastiband Telugu","EP3",20.58,44.1226,54.9639889196676
"150","IP14","Mastiband Telugu","EP4",21.56,32.9744,41.353391126976
"151","IP14","Mastiband Telugu","EP5",11.23,32.3865,36.1500506928016
"152","IP15","Nenjenenje","EP1",69.04,9.9645,29.0009689922481
"153","IP15","Nenjenenje","EP2",76.72,7.7777,30.0584192439862
"154","IP15","Nenjenenje","EP3",68.5,9.5989,27.6720634920635
"155","IP15","Nenjenenje","EP4",67.56,10.3464,28.829839704069
"156","IP15","Nenjenenje","EP5",72.1,8.2808,25.6971326164875
"157","IP15","Nenjenenje","EP6",77.3,7.862,28.5603524229075
"158","IP15","Nenjenenje","EP7",58.11,12.9672,28.2592504177608
"159","IP15","Nenjenenje","EP8",62.6,11.9275,28.574064171123
"160","IP15","Nenjenenje","EP9",51.44,16.1938,30.9616968698517
"161","IP15","Nenjenenje","EP10",52.98,19.1418,38.0631646108039
"162","IP15","Nenjenenje","EP11",54.93,14.1629,29.3072997559352
"163","IP15","Nenjenenje","EP12",63.09,15.1279,37.8751015984828
"164","IP15","Nenjenenje","EP13",68.34,8.069,21.3048010107391
"165","IP15","Nenjenenje","EP14",42.24,16.008,25.7364958448753
"166","IP15","Nenjenenje","EP15",47.63,16.839,29.9190376169563
"167","IP16","Kollywood Kothu","EP1",56.48,15.8148,33.3278952205883
"168","IP16","Kollywood Kothu","EP2",61.74,14.6574,36.3651332984841
"169","IP16","Kollywood Kothu","EP3",73.58,10.2507,35.1339894019682
"170","IP16","Kollywood Kothu","EP4",66.6,12.2878,34.0392215568862
"171","IP16","Kollywood Kothu","EP5",66.47,12.8502,35.543692215926
"172","IP16","Kollywood Kothu","EP6",64.03,15.4161,40.0628301362246
"173","IP16","Kollywood Kothu","EP7",47.82,25.8433,47.9687619777693
"174","IP16","Kollywood Kothu","EP8",63.75,15.682,41.096275862069
"175","IP16","Kollywood Kothu","EP9",68.83,12.5061,36.9987167147899
"176","IP16","Kollywood Kothu","EP10",67.41,14.3588,40.9889536667689
"177","IP16","Kollywood Kothu","EP11",61.21,16.0226,38.8819283320443
"178","IP16","Kollywood Kothu","EP12",66.84,12.6172,34.4556694813028
"179","IP16","Kollywood Kothu","EP13",58.24,16.8725,38.2200670498084
